N_train,noise_ratio,resample,repeat,relative_L2_error
75,0.4081632653061224,1,3,103.60186580872508
75,0.4183673469387755,1,3,116.76602531008741
75,0.42857142857142855,1,3,175.35133160109086
75,0.4387755102040816,1,3,117.09154887832662
75,0.44897959183673464,1,3,98.27441886302645
75,0.4591836734693877,1,3,146.22873717497419
75,0.4693877551020408,1,3,75.0087288468046
75,0.47959183673469385,1,3,74.60887597130362
75,0.4897959183673469,1,3,97.43267895751731
75,0.5,1,3,122.91945234777606
75,0.0,1,4,7.866238421397695
75,0.01020408163265306,1,4,7.856177321290252
75,0.02040816326530612,1,4,7.943732983033961
75,0.030612244897959183,1,4,7.935858078375898
75,0.04081632653061224,1,4,8.160146922629782
75,0.0510204081632653,1,4,7.991281825208881
75,0.061224489795918366,1,4,8.152212976719438
75,0.07142857142857142,1,4,8.246138493517924
75,0.08163265306122448,1,4,8.696349988259792
75,0.09183673469387754,1,4,8.408549848589669
75,0.1020408163265306,1,4,8.837869792298195
75,0.11224489795918366,1,4,8.589545592312053
75,0.12244897959183673,1,4,9.299995984126749
75,0.13265306122448978,1,4,9.043477300729737
75,0.14285714285714285,1,4,8.971569222089212
75,0.1530612244897959,1,4,9.784087215594285
75,0.16326530612244897,1,4,8.972579261840778
75,0.17346938775510204,1,4,10.302707634168788
75,0.18367346938775508,1,4,39.13134232646533
75,0.19387755102040816,1,4,64.16385643422919
75,0.2040816326530612,1,4,51.862846112035555
75,0.21428571428571427,1,4,11.016011357524508
75,0.22448979591836732,1,4,12.099418630820676
75,0.2346938775510204,1,4,39.70849611423111
75,0.24489795918367346,1,4,70.37384623525804
75,0.25510204081632654,1,4,12.996608931220127
75,0.26530612244897955,1,4,74.8621812671914
75,0.2755102040816326,1,4,74.38589998010615
75,0.2857142857142857,1,4,62.83483786614408
75,0.29591836734693877,1,4,11.465567630418171
75,0.3061224489795918,1,4,87.0188583593348
75,0.31632653061224486,1,4,73.13739307107573
75,0.32653061224489793,1,4,13.329573813891285
75,0.336734693877551,1,4,15.583937017059146
75,0.3469387755102041,1,4,131.51719518010373
75,0.3571428571428571,1,4,72.79981978656531
75,0.36734693877551017,1,4,97.83846220969848
75,0.37755102040816324,1,4,133.88656511408854
75,0.3877551020408163,1,4,83.71682748507128
75,0.39795918367346933,1,4,107.29302019679163
75,0.4081632653061224,1,4,122.08991434573339
75,0.4183673469387755,1,4,157.43044947878641
75,0.42857142857142855,1,4,99.57158564850064
75,0.4387755102040816,1,4,97.64710044169374
75,0.44897959183673464,1,4,70.38563801473194
75,0.4591836734693877,1,4,157.41636841917332
75,0.4693877551020408,1,4,15.517379819199089
75,0.47959183673469385,1,4,100.28751191455024
75,0.4897959183673469,1,4,68.83403540810862
75,0.5,1,4,169.66407478254564
